id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
borg1235,fula1264,Borgu Fulfulde,language,fue,fue,9.801,3.988,['Africa'],"['Benin', 'Nigeria']",,Fula,Fula,borg1235,Atlantic-Congo,atla1278,Africa,1,,,
adam1253,adam1260,Adamawa Fulfulde,language,fub,fub,8.140326,13.077338,['Africa'],"['Cameroon', 'Eritrea', 'Ethiopia', 'Nigeria', 'Sudan', 'Chad']",,Adamawa-Bagirmi Fulfulde,Adamawa-Bagirmi Fulfulde,adam1253,Atlantic-Congo,atla1278,Africa,1,Peul-Serer,African Savannah,Niger-Congo
cent2018,fula1265,Central-Eastern Niger Fulfulde,language,fuq,fuq,15.0907,8.43261,['Africa'],"['Mali', 'Niger', 'Nigeria', 'Chad']",,Eastern Fula,Eastern Fula,cent2018,Atlantic-Congo,atla1278,Africa,1,,,
nige1253,fula1265,Hausa States Fulfulde,language,fuv,fuv,10.9972,11.1188,['Africa'],"['Cameroon', 'Nigeria', 'Chad']",,Eastern Fula,Eastern Fula,nige1253,Atlantic-Congo,atla1278,Africa,1,Peul-Serer,African Savannah,Niger-Congo
maas1239,fula1264,Maasina Fulfulde,language,ffm,ffm,11.1324,-3.64763,['Africa'],"['Burkina Faso', ""Côte d'Ivoire"", 'Ghana', 'Mali', 'Mauritania', 'Niger']",,Fula,Fula,maas1239,Atlantic-Congo,atla1278,Africa,1,Peul-Serer,African Savannah,Niger-Congo
pula1262,fula1264,Pular,language,fuf,fuf,12.1826,-12.7338,['Africa'],"['Guinea', 'Guinea-Bissau', 'Mali', 'Sierra Leone', 'Senegal']",,Fula,Fula,pula1262,Atlantic-Congo,atla1278,Africa,1,Peul-Serer,African Savannah,Niger-Congo
west2454,fula1264,Western Niger Fulfulde,language,fuh,fuh,14.2471,-0.52004,['Africa'],"['Burkina Faso', 'Benin', 'Mali', 'Niger', 'Nigeria']",,Fula,Fula,west2454,Atlantic-Congo,atla1278,Africa,1,Peul-Serer,African Savannah,Niger-Congo
bass1258,bass1263,Bassari-Tanda,language,bsc,bsc,12.4529,-13.3495,['Africa'],"['Guinea', 'Guinea-Bissau', 'Senegal']",,Bassari-Bedik-Bapen,Bassari-Bedik-Bapen,bass1258,Atlantic-Congo,atla1278,Africa,1,Tenda,African Savannah,Niger-Congo
nucl1347,wolo1247,Wolof,language,wol,wol,15.2534,-15.383,['Africa'],"['Gambia', 'Guinea-Bissau', 'Mali', 'Mauritania', 'Senegal']",,Wolofic,Wolofic,nucl1347,Atlantic-Congo,atla1278,Africa,1,Wolof,African Savannah,Niger-Congo
came1252,east2806,Donga Mambila,language,mcu,mcu,6.43829,11.41953,['Africa'],"['Cameroon', 'Nigeria']",,Eastern Mambila,Eastern Mambila,came1252,Atlantic-Congo,atla1278,Africa,1,,,
